"TripID","Site","TrapType","FoodDim1","FoodDim2","ConsDim1","ConsDim2"
"UVDOK5237N","Bamburi","Gated",-1.19513753719394,-0.290062851942324,-0.00402824248516488,-1.20794279006762
"SURVF4841W","Bamburi","Gated",-1.46795794476682,0.133898838057444,-1.18875637991028,-1.25727455112197
"ZVGYH7296Q","Bamburi","Gated",-0.830067376551465,-0.0840026909480008,-0.69035919521497,-1.31436755852082
"BBBMG6728A","Bamburi","Gated",-1.33307442861107,-0.0335931561204683,-1.0341972578502,-1.38870957429391
"JEEZK6148X","Bamburi","Gated",-1.50254758803046,0.232222564461514,-1.29821126502212,-0.9125236385943
"OQFDZ1344F","Bamburi","Traditional",-1.49904433292034,0.232538221429627,0.560310331554315,-1.7068350911213
"YPEFY0412Q","Bamburi","Gated",-1.31911932350178,-0.116761639852092,-0.335511625595473,-1.16924659763556
"AGMCQ2979L","Bamburi","Gated",-1.31401259322059,-0.0140603240712344,-0.661695364453384,-1.12593972830274
"XPEZA2240X","Bamburi","Traditional",-0.51317599222058,0.248300294360677,-1.05714082289999,0.141000412183325
"HBOXP1146B","Bamburi","Traditional",-1.25211355755644,-0.229162169457953,-0.233552608327877,-1.12945457311486
"IOAUN9895N","Bamburi","Gated",-0.640519816583953,-1.32320753856195,0.220145359327482,-1.03482375307892
"PCCGW4091L","Bamburi","Gated",-1.34612521426717,0.0185673344950292,0.257695131748378,-2.1881420234036
"UYBEW2532Z","Bamburi","Gated",-1.12436398198264,-0.384754504268311,0.239885447572703,-2.19203345589887
"YCCYB3951P","Bamburi","Traditional",-1.28730671942066,-0.0936565529927949,-0.838683384050578,-0.332572907897941
"XUJLY2719Y","Bamburi","Gated",-1.34555663611104,-0.071016891400241,-0.049875287031483,-2.25534644490919
"CMMGP2639B","Bamburi","Gated",-0.851232178772517,-0.794941092659038,0.335294469942373,-2.17118649610279
"TWFAP7253F","Bamburi","Gated",-1.20020044931273,-0.511899818314192,0.0456622930168372,-2.0709227549132
"MSXOT5861K","Bamburi","Gated",0.104409969244508,3.36615992391397,-0.81062457852148,-1.80762498582379
"RGEXP4224L","Bamburi","Gated",-1.1686707779365,-0.294688539341776,-1.20744972739608,0.00010489005393296
"GNZBB6250C","Bamburi","Gated",-1.16417453336543,-0.376824867953803,0.46481320229177,-1.53669553481318
"FIBOZ5661I","Bamburi","Gated",-1.40597189756563,0.0697518308553966,-0.436872032968607,-1.56083569839231
"UGTLV2221K","Bamburi","Gated",-0.57254590911081,0.266197087623808,-0.22323104954239,-1.49100298144266
